,Metric names,Mean of 1st metric,Mean of 2nd metric,p-values,covariances
1,Age vs Number of versions,11.1111,104.5556,0.0092,25.8056
2,Age vs Aggregated empty jumps,10.5714,5.4286,0.0213,-0.2857
